,Country Name,Country Code,Series Name,2018,2019,Age,Gender
25,Argentina,ARG,"Age population, age 02, female, interpolated",367338,367669,2,Female
649,Australia,AUS,"Age population, age 02, female, interpolated",159953,161348,2,Female
1273,Brazil,BRA,"Age population, age 02, female, interpolated",1422486,1421275,2,Female
1897,Canada,CAN,"Age population, age 02, female, interpolated",194239,194249,2,Female
2521,China,CHN,"Age population, age 02, female, interpolated",8090213,8028851,2,Female
3145,France,FRA,"Age population, age 02, female, interpolated",365457,359776,2,Female
3769,Germany,DEU,"Age population, age 02, female, interpolated",375849,387479,2,Female
4393,India,IND,"Age population, age 02, female, interpolated",11115593,11070664,2,Female
5017,Indonesia,IDN,"Age population, age 02, female, interpolated",2365269,2352661,2,Female
5641,Italy,ITA,"Age population, age 02, female, interpolated",239065,232334,2,Female
6265,Japan,JPN,"Age population, age 02, female, interpolated",493996,480926,2,Female
6889,Mexico,MEX,"Age population, age 02, female, interpolated",1085302,1080199,2,Female
7513,"Korea, Rep.",KOR,"Age population, age 02, female, interpolated",202981,195110,2,Female
8137,Russian Federation,RUS,"Age population, age 02, female, interpolated",926909,922175,2,Female
8761,Saudi Arabia,SAU,"Age population, age 02, female, interpolated",298118,297291,2,Female
9385,Singapore,SGP,"Age population, age 02, female, interpolated",23283,23880,2,Female
10009,South Africa,ZAF,"Age population, age 02, female, interpolated",578414,574838,2,Female
10633,Turkey,TUR,"Age population, age 02, female, interpolated",658125,652538,2,Female
11257,United States,USA,"Age population, age 02, female, interpolated",1922813,1916403,2,Female
11881,United Kingdom,GBR,"Age population, age 02, female, interpolated",394828,389799,2,Female
26,Argentina,ARG,"Age population, age 02, male, interpolated",381284,381664,2,Male
650,Australia,AUS,"Age population, age 02, male, interpolated",168728,170251,2,Male
1274,Brazil,BRA,"Age population, age 02, male, interpolated",1489697,1488567,2,Male
1898,Canada,CAN,"Age population, age 02, male, interpolated",203531,203748,2,Male
2522,China,CHN,"Age population, age 02, male, interpolated",9175621,9068399,2,Male
3146,France,FRA,"Age population, age 02, male, interpolated",381888,375814,2,Male
3770,Germany,DEU,"Age population, age 02, male, interpolated",395923,408148,2,Male
4394,India,IND,"Age population, age 02, male, interpolated",12225142,12179091,2,Male
5018,Indonesia,IDN,"Age population, age 02, male, interpolated",2467541,2455538,2,Male
5642,Italy,ITA,"Age population, age 02, male, interpolated",253882,246779,2,Male
6266,Japan,JPN,"Age population, age 02, male, interpolated",521232,507489,2,Male
6890,Mexico,MEX,"Age population, age 02, male, interpolated",1135693,1130294,2,Male
7514,"Korea, Rep.",KOR,"Age population, age 02, male, interpolated",213872,205742,2,Male
8138,Russian Federation,RUS,"Age population, age 02, male, interpolated",979555,974632,2,Male
8762,Saudi Arabia,SAU,"Age population, age 02, male, interpolated",307923,307020,2,Male
9386,Singapore,SGP,"Age population, age 02, male, interpolated",25090,25794,2,Male
10010,South Africa,ZAF,"Age population, age 02, male, interpolated",593471,589669,2,Male
10634,Turkey,TUR,"Age population, age 02, male, interpolated",689097,682873,2,Male
11258,United States,USA,"Age population, age 02, male, interpolated",2010298,2003058,2,Male
11882,United Kingdom,GBR,"Age population, age 02, male, interpolated",414156,408935,2,Male
27,Argentina,ARG,"Age population, age 03, female, interpolated",369125,367740,3,Female
651,Australia,AUS,"Age population, age 03, female, interpolated",155722,160603,3,Female
1275,Brazil,BRA,"Age population, age 03, female, interpolated",1437679,1420892,3,Female
1899,Canada,CAN,"Age population, age 03, female, interpolated",187590,194400,3,Female
2523,China,CHN,"Age population, age 03, female, interpolated",8157517,8102122,3,Female
3147,France,FRA,"Age population, age 03, female, interpolated",374914,367336,3,Female
3771,Germany,DEU,"Age population, age 03, female, interpolated",367371,380293,3,Female
4395,India,IND,"Age population, age 03, female, interpolated",10888071,11025350,3,Female
5019,Indonesia,IDN,"Age population, age 03, female, interpolated",2462275,2383568,3,Female
5643,Italy,ITA,"Age population, age 03, female, interpolated",244768,240634,3,Female
6267,Japan,JPN,"Age population, age 03, female, interpolated",512685,497655,3,Female
6891,Mexico,MEX,"Age population, age 03, female, interpolated",1103006,1087414,3,Female
7515,"Korea, Rep.",KOR,"Age population, age 03, female, interpolated",215864,206246,3,Female
8139,Russian Federation,RUS,"Age population, age 03, female, interpolated",939023,931509,3,Female
8763,Saudi Arabia,SAU,"Age population, age 03, female, interpolated",299684,300013,3,Female
9387,Singapore,SGP,"Age population, age 03, female, interpolated",20354,22710,3,Female
10011,South Africa,ZAF,"Age population, age 03, female, interpolated",575591,579528,3,Female
10635,Turkey,TUR,"Age population, age 03, female, interpolated",672314,660825,3,Female
11259,United States,USA,"Age population, age 03, female, interpolated",1891610,1921537,3,Female
11883,United Kingdom,GBR,"Age population, age 03, female, interpolated",395395,397882,3,Female
28,Argentina,ARG,"Age population, age 03, male, interpolated",383117,381663,3,Male
652,Australia,AUS,"Age population, age 03, male, interpolated",164091,169382,3,Male
1276,Brazil,BRA,"Age population, age 03, male, interpolated",1506355,1488018,3,Male
1900,Canada,CAN,"Age population, age 03, male, interpolated",196934,203710,3,Male
2524,China,CHN,"Age population, age 03, male, interpolated",9244661,9182296,3,Male
3148,France,FRA,"Age population, age 03, male, interpolated",391612,383277,3,Male
3772,Germany,DEU,"Age population, age 03, male, interpolated",387932,401181,3,Male
4396,India,IND,"Age population, age 03, male, interpolated",12011920,12133716,3,Male
5020,Indonesia,IDN,"Age population, age 03, male, interpolated",2561127,2484000,3,Male
5644,Italy,ITA,"Age population, age 03, male, interpolated",260381,255594,3,Male
6268,Japan,JPN,"Age population, age 03, male, interpolated",540963,525107,3,Male
6892,Mexico,MEX,"Age population, age 03, male, interpolated",1152559,1137564,3,Male
7516,"Korea, Rep.",KOR,"Age population, age 03, male, interpolated",227472,217240,3,Male
8140,Russian Federation,RUS,"Age population, age 03, male, interpolated",993855,984625,3,Male
8764,Saudi Arabia,SAU,"Age population, age 03, male, interpolated",309771,309790,3,Male
9388,Singapore,SGP,"Age population, age 03, male, interpolated",21535,24496,3,Male
10012,South Africa,ZAF,"Age population, age 03, male, interpolated",589856,594173,3,Male
10636,Turkey,TUR,"Age population, age 03, male, interpolated",705494,691429,3,Male
11260,United States,USA,"Age population, age 03, male, interpolated",1978604,2008621,3,Male
11884,United Kingdom,GBR,"Age population, age 03, male, interpolated",415317,417366,3,Male
29,Argentina,ARG,"Age population, age 04, female, interpolated",366820,368356,4,Female
653,Australia,AUS,"Age population, age 04, female, interpolated",156885,158046,4,Female
1277,Brazil,BRA,"Age population, age 04, female, interpolated",1429129,1430719,4,Female
1901,Canada,CAN,"Age population, age 04, female, interpolated",190911,190444,4,Female
2525,China,CHN,"Age population, age 04, female, interpolated",8144463,8146395,4,Female
3149,France,FRA,"Age population, age 04, female, interpolated",378992,374745,4,Female
3773,Germany,DEU,"Age population, age 04, female, interpolated",362036,372809,4,Female
4397,India,IND,"Age population, age 04, female, interpolated",11080744,10927902,4,Female
5021,Indonesia,IDN,"Age population, age 04, female, interpolated",2420598,2437870,4,Female
5645,Italy,ITA,"Age population, age 04, female, interpolated",252668,246400,4,Female
6269,Japan,JPN,"Age population, age 04, female, interpolated",520980,512282,4,Female
6893,Mexico,MEX,"Age population, age 04, female, interpolated",1099561,1098870,4,Female
7517,"Korea, Rep.",KOR,"Age population, age 04, female, interpolated",219181,215335,4,Female
8141,Russian Federation,RUS,"Age population, age 04, female, interpolated",928047,937182,4,Female
8765,Saudi Arabia,SAU,"Age population, age 04, female, interpolated",298394,299940,4,Female
9389,Singapore,SGP,"Age population, age 04, female, interpolated",20877,20922,4,Female
10013,South Africa,ZAF,"Age population, age 04, female, interpolated",578689,577769,4,Female
10637,Turkey,TUR,"Age population, age 04, female, interpolated",670937,670753,4,Female
11261,United States,USA,"Age population, age 04, female, interpolated",1928344,1907921,4,Female
11885,United Kingdom,GBR,"Age population, age 04, female, interpolated",401261,398744,4,Female
30,Argentina,ARG,"Age population, age 04, male, interpolated",380658,382279,4,Male
654,Australia,AUS,"Age population, age 04, male, interpolated",165294,166556,4,Male
1278,Brazil,BRA,"Age population, age 04, male, interpolated",1496262,1498545,4,Male
1902,Canada,CAN,"Age population, age 04, male, interpolated",200084,199747,4,Male
2526,China,CHN,"Age population, age 04, male, interpolated",9289385,9244538,4,Male
3150,France,FRA,"Age population, age 04, male, interpolated",395815,391043,4,Male
3774,Germany,DEU,"Age population, age 04, male, interpolated",383021,394167,4,Male
4398,India,IND,"Age population, age 04, male, interpolated",12212819,12049429,4,Male
5022,Indonesia,IDN,"Age population, age 04, male, interpolated",2521987,2536917,4,Male
5646,Italy,ITA,"Age population, age 04, male, interpolated",268399,261904,4,Male
